youtube_key,filename,segment_id,label,gender,start_time,end_time,transcription,split
CfD_mpA-8WE,55ea70ba-9ce28715.mp3,0.mp3,anger,female,0.0,14570.0,"¿Me puede decir usted, señor Marlaska, dónde lleva metido estos tres días que hay disturbios en la calle? Le exigí al señor Torra que condenara la violencia de manera firme, rotunda, sin adjetivos ni medias tintas. Palabras que yo comparto al cien por cien con usted, señor Marlaska.",train
CfD_mpA-8WE,3ee10d97-5da0f82c.mp3,9.mp3,anger,female,54367.0,61218.0,¿Un señor que deseaba que le volaran la nuca a los cargos del Partido Popular? Mírenle a la cara a mis compañeros.,train
Eu398xZFgto,a7b07571-e638f157.mp3,2.mp3,sadness,female,9605.0,22881.0,"Frente a las 28.000 víctimas que reconoce el Gobierno, el Instituto Nacional de Estadística, el Instituto Carlos III y la patronal a las funerarias coinciden en que entre marzo y junio murieron en España unas 45.000 personas más de lo previsto.",test
Eu398xZFgto,2e09e30e-369d8e36.mp3,7.mp3,sadness,female,36747.0,45731.0,"Esos 17.000 españoles, si no murieron por la pandemia, ¿por qué murieron? Responsabilidad de otros, nunca asumen la suya. Mire, señora Calvo, ustedes mienten las aviendas.",train
Eu398xZFgto,c235a8d2-75ab9245.mp3,8.mp3,sadness,female,45731.0,56783.0,"No se trata de un debate técnico sobre quién es o no una víctima del Covid, sino de un hecho incontestable. Lo repito, en España durante esta tristísima primavera han muerto 45.000 españoles de más.",train
jpgftEV7yWc,2bcb4219-fcb34450.mp3,3.mp3,anger,female,70161.0,77596.0,"porque toda España ha visto como el condenado Chávez se reunía con el ministro de Justicia, que le pedía un indulto, ayuda con recurso...",train
jpgftEV7yWc,ef4ff8e3-42137657.mp3,5.mp3,anger,female,79495.0,85180.0,"que aparte del señor Sicilia, que era de los Eres, tres ministros actuales eran consejeros también.",train
jpgftEV7yWc,2744a39e-4f59eb8a.mp3,7.mp3,anger,female,109198.0,113042.0,fallecidos. ¿Por qué somos el país con más sanitarios contagiados?,train
SxBBHoMBetY,d5d33a37-fb297514.mp3,0.mp3,anger,female,0.0,12705.0,"Señor Sánchez, quedan muchas incógnitas que usted todavía tiene que despejar sobre las investigaciones del CNI tras el cese de su directora. Lo que no puede negar es que, como presidente, usted estaba al corriente.",train
SxBBHoMBetY,6a0c6d17-7552b00f.mp3,2.mp3,anger,female,15568.0,30461.0,"Y una de las dudas que todo el mundo tiene y que usted tiene que aclarar es, sabiendo lo que usted sabía, qué tipo de relación política estableció con los investigados y a qué acuerdos llegó con ellos. Esta es la clave y esto es lo que hoy le preguntamos.",train
wzy5uL-B-Qo,2461d74f-d6e562e9.mp3,4.mp3,anger,male,5397.0,7908.0,Falso. Falso es falso. Por eso mañana...,train
